TITLE,RUNTIME,YEAR,MONTH,BUDGET,GENRE,PROD_COMPANY,IMDB_GOOD,IMDB_BAD,REVENUE
This Is Where I Leave You,103,2014,SEPTEMBER,19800000,Drama,Spring Creek Productions,NO,NO,41296320
Risen,107,2016,FEBRUARY,20000000,Action,Columbia Pictures,NO,NO,46069568
Nerve,96,2016,JULY,20000000,Mystery,Lionsgate,YES,NO,83707310
Endless Love,103,2014,FEBRUARY,20000000,Drama,Universal Pictures,NO,NO,34077920
Secret in Their Eyes,111,2015,OCTOBER,19500000,Crime,Ingenious Media,NO,NO,34854990
Triple 9,115,2016,FEBRUARY,20000000,Action,Worldview Entertainment,NO,NO,12639297
Burnt,100,2015,OCTOBER,20000000,Drama,Double Feature Films,NO,NO,36606743
Inherent Vice,148,2014,DECEMBER,20000000,Comedy,Ghoulardi Film Company,NO,NO,11110975
Little Boy,106,2015,APRIL,20000000,Comedy,Metanoia Films,YES,NO,6420319
A Most Violent Year,125,2014,DECEMBER,20000000,Crime,Participant Media,NO,NO,12007070
By the Sea,122,2015,NOVEMBER,10000000,Drama,Plan B Entertainment,NO,NO,3727746
Neighbors,96,2014,MAY,18000000,Comedy,Universal Pictures,NO,NO,268157400
Left Behind,110,2014,OCTOBER,16000000,Thriller,Stoney Lake Entertainment,NO,YES,19682924
My Big Fat Greek Wedding 2,94,2016,MARCH,18000000,Romance,Universal Pictures,NO,NO,88923251
Birdman,119,2014,OCTOBER,18000000,Drama,Worldview Entertainment,YES,NO,103215094
Love the Coopers,107,2015,NOVEMBER,17000000,Comedy,Imagine Entertainment,NO,NO,24000000
Steve Jobs,122,2015,OCTOBER,30000000,Drama,Universal Pictures,NO,NO,34441873
And So It Goes,94,2014,JULY,18000000,Comedy,Castle Rock Entertainment,NO,NO,25312387
Midnight Special,112,2016,FEBRUARY,18000000,Adventure,Warner Bros.,NO,NO,6212282
The Prince,93,2014,OCTOBER,18000000,Thriller,Grindstone Entertainment Group,NO,YES,266586800
Let's Be Cops,104,2014,OCTOBER,17000000,Comedy,Twentieth Century Fox Film Corporation,NO,NO,136621271
Escobar: Paradise Lost,120,2014,OCTOBER,17000000,Thriller,Nexus Factory,NO,NO,3758328
The Young Messiah,120,2016,MARCH,18500000,Drama,Focus Features,NO,NO,6490401
The Homesman,122,2014,MAY,16000000,Western,The Javelina Film Company,NO,NO,3442853
The Imitation Game,113,2014,NOVEMBER,14000000,History,Black Bear Pictures,YES,NO,233555708
Krampus,98,2015,NOVEMBER,15000000,Horror,Universal Pictures,NO,NO,61548707
The Theory of Everything,123,2014,NOVEMBER,15000000,Drama,Working Title Films,YES,NO,123726688
Wild,115,2014,DECEMBER,15000000,Drama,Fox Searchlight Pictures,YES,NO,52501541
When the Game Stands Tall,115,2014,OCTOBER,15000000,Drama,Mandalay Pictures,NO,NO,30127963
Keanu,94,2016,APRIL,15000000,Action,New Line Cinema,NO,NO,20566327
The November Man,108,2014,OCTOBER,15000000,Crime,Irish Dreamtime,NO,NO,32556119
A Most Wanted Man,121,2014,JULY,15000000,Thriller,Senator Film Produktion,NO,NO,31554855
The Assassin,105,2015,OCTOBER,15000000,Action,Media Asia Films,NO,NO,632542
Magic Mike XXL,115,2015,JULY,14800000,Comedy,Warner Bros.,NO,NO,122513057
Hot Tub Time Machine 2,93,2015,FEBRUARY,14000000,Comedy,Paramount Pictures,NO,YES,12314651
Under the Skin,108,2014,MARCH,13300000,Thriller,Scottish Screen,NO,NO,5380251
Miracles from Heaven,117,2016,MARCH,16000000,Drama,TriStar Pictures,NO,NO,77000000
St. Vincent,102,2014,OCTOBER,13000000,Comedy,The Weinstein Company,YES,NO,54837234
About Last Night,100,2014,FEBRUARY,12500000,Comedy,Screen Gems,NO,NO,49002684
The Shallows,86,2016,JUNE,17000000,Horror,Columbia Pictures,NO,NO,119100758
No Good Deed,83,2014,SEPTEMBER,13200000,Crime,Will Packer Productions,NO,NO,53830415
Ex Machina,108,2015,JANUARY,15000000,Drama,DNA Films,YES,NO,36869414
Earth to Echo,89,2014,JUNE,13000000,Family,Walt Disney Studios Motion Pictures,NO,NO,45300000
Room,117,2015,OCTOBER,6000000,Drama,T\u00e9l\u00e9film Canada,YES,NO,35401758
The Vatican Tapes,91,2015,JULY,13000000,Thriller,Lakeshore Entertainment,NO,YES,1784763
The Fault in Our Stars,125,2014,MAY,12000000,Romance,Fox 2000 Pictures,YES,NO,307166834
Paper Towns,109,2015,JUNE,12000000,Drama,Fox 2000 Pictures,NO,NO,85512300
Project Almanac,106,2015,JANUARY,12000000,Science Fiction,Paramount Pictures,NO,NO,32248241
Heaven is for Real,99,2014,APRIL,12000000,Drama,TriStar Pictures,NO,NO,101332962
Dirty Grandpa,102,2016,JANUARY,11500000,Comedy,Lionsgate,NO,NO,94073028
If I Stay,106,2014,OCTOBER,11000000,Drama,New Line Cinema,YES,NO,78874843
Brooklyn,111,2015,OCTOBER,11000000,Drama,Wildgaze Films,YES,NO,62076141
Woman in Gold,120,2015,APRIL,11000000,Drama,BBC Films,YES,NO,61619773
The Purge: Election Year,105,2016,JUNE,10000000,Action,Universal Pictures,NO,NO,118587880
